call_id,datetime,agent,campaign,trunk,phone_number,disposition,duration,ring_time,hold_time,call_type
CDR_00004684,2024-01-01 08:03:14,Agent_008,Sales_Campaign_Q1,SIP_GATEWAY_2,+16529792315,Callback Scheduled,125,4,0,Outbound
CDR_00004589,2024-01-01 08:18:33,Agent_018,New_Product_Launch,VOIP_LINE_A,+14859824403,Busy,0,15,0,Outbound
CDR_00003130,2024-01-01 08:45:37,Agent_008,Sales_Campaign_Q1,SIP_GATEWAY_1,+15715860331,Busy,0,45,0,Outbound
CDR_00001985,2024-01-01 09:15:31,Agent_012,Sales_Campaign_Q1,TRUNK_PRIMARY,+17586996843,Callback Scheduled,195,3,19,Outbound
CDR_00003461,2024-01-01 09:22:30,Agent_018,Lead_Generation_2024,VOIP_LINE_A,+16434643040,Not Interested,180,21,21,Outbound
CDR_00000083,2024-01-01 09:41:34,Agent_009,Survey_Campaign,VOIP_LINE_B,+17049373388,Not Interested,111,30,28,Outbound
CDR_00004598,2024-01-01 09:42:25,Agent_005,New_Product_Launch,SIP_GATEWAY_1,+15177961471,No Answer,0,43,0,Outbound
CDR_00003415,2024-01-01 09:48:33,Agent_005,Lead_Generation_2024,VOIP_LINE_B,+15604714231,Voicemail,11,21,0,Outbound
CDR_00003994,2024-01-01 10:04:51,Agent_020,Collection_Drive,VOIP_LINE_B,+15135979227,Busy,0,37,0,Outbound
CDR_00002557,2024-01-01 10:08:58,Agent_008,Customer_Retention,SIP_GATEWAY_1,+13753419910,Callback Scheduled,123,10,30,Outbound
CDR_00003965,2024-01-01 10:11:28,Agent_004,Lead_Generation_2024,TRUNK_PRIMARY,+12612665193,Busy,0,35,0,Outbound
CDR_00004392,2024-01-01 10:19:22,Agent_007,Sales_Campaign_Q1,VOIP_LINE_A,+17237119297,Fax/Modem,0,41,0,Outbound
CDR_00002937,2024-01-01 10:32:47,Agent_007,Collection_Drive,VOIP_LINE_A,+18803515885,No Answer,0,21,0,Outbound
CDR_00004527,2024-01-01 10:54:01,Agent_006,New_Product_Launch,TRUNK_BACKUP,+16427415535,Voicemail,14,29,0,Outbound
CDR_00001264,2024-01-01 10:58:02,Agent_002,Sales_Campaign_Q1,TRUNK_PRIMARY,+17131717452,Interested,212,27,1,Outbound
CDR_00004220,2024-01-01 11:15:06,Agent_003,Collection_Drive,TRUNK_BACKUP,+16907350214,Busy,0,21,0,Outbound
CDR_00003550,2024-01-01 11:15:26,Agent_001,Sales_Campaign_Q1,TRUNK_PRIMARY,+14224585781,Sale,675,11,2,Outbound
CDR_00004255,2024-01-01 11:28:03,Agent_010,Lead_Generation_2024,VOIP_LINE_A,+15507927674,Voicemail,23,27,0,Outbound
CDR_00001191,2024-01-01 11:32:09,Agent_008,Lead_Generation_2024,TRUNK_BACKUP,+14773666847,Language Barrier,82,27,19,Outbound
CDR_00000684,2024-01-01 11:51:13,Agent_011,Collection_Drive,TRUNK_PRIMARY,+18893047664,Voicemail,9,23,0,Outbound
CDR_00002549,2024-01-01 11:52:45,Agent_009,Customer_Retention,TRUNK_BACKUP,+12823352042,Busy,0,41,0,Outbound
CDR_00002493,2024-01-01 12:00:08,Agent_014,Survey_Campaign,SIP_GATEWAY_1,+14302043771,Busy,0,34,0,Outbound
CDR_00000747,2024-01-01 12:22:19,Agent_020,New_Product_Launch,SIP_GATEWAY_2,+17066953667,No Answer,0,37,0,Outbound
CDR_00000693,2024-01-01 12:49:50,Agent_005,Customer_Retention,TRUNK_BACKUP,+16589363781,Voicemail,30,22,0,Outbound
CDR_00001463,2024-01-01 12:57:10,Agent_016,New_Product_Launch,VOIP_LINE_B,+12739328552,Do Not Call,93,9,19,Outbound
CDR_00000909,2024-01-01 13:30:24,Agent_017,Collection_Drive,SIP_GATEWAY_2,+13264792679,No Answer,0,44,0,Outbound
CDR_00000745,2024-01-01 13:44:03,Agent_009,Lead_Generation_2024,TRUNK_PRIMARY,+16998846235,Not Interested,79,5,0,Outbound
CDR_00004404,2024-01-01 13:44:15,Agent_015,Sales_Campaign_Q1,TRUNK_PRIMARY,+17866220750,Voicemail,30,24,0,Outbound
CDR_00002505,2024-01-01 13:57:20,Agent_011,Customer_Retention,TRUNK_PRIMARY,+13621092723,Not Interested,150,28,23,Outbound
CDR_00004042,2024-01-01 14:00:20,Agent_018,New_Product_Launch,TRUNK_BACKUP,+12906594817,Interested,222,8,24,Outbound
CDR_00002093,2024-01-01 14:13:51,Agent_006,Lead_Generation_2024,TRUNK_BACKUP,+13202918706,Callback Scheduled,170,13,25,Outbound
CDR_00004806,2024-01-01 14:16:33,Agent_014,Sales_Campaign_Q1,VOIP_LINE_A,+19529524473,Interested,124,30,27,Outbound
CDR_00000889,2024-01-01 14:19:26,Agent_005,Collection_Drive,VOIP_LINE_B,+19397240424,Transferred,82,22,0,Outbound
CDR_00002370,2024-01-01 14:30:30,Agent_020,Collection_Drive,VOIP_LINE_B,+15364001086,Disconnected,0,42,0,Outbound
CDR_00004798,2024-01-01 14:31:15,Agent_005,Customer_Retention,SIP_GATEWAY_2,+17118775918,Busy,0,47,0,Outbound
CDR_00001149,2024-01-01 14:33:13,Agent_011,Survey_Campaign,SIP_GATEWAY_1,+12532492653,Not Interested,71,10,26,Outbound
CDR_00001073,2024-01-01 14:35:34,Agent_020,Survey_Campaign,VOIP_LINE_B,+17573231979,Disconnected,0,28,0,Outbound
CDR_00004266,2024-01-01 14:42:34,Agent_008,Sales_Campaign_Q1,VOIP_LINE_B,+18732392945,No Answer,0,59,0,Outbound
CDR_00001750,2024-01-01 14:57:56,Agent_011,Collection_Drive,SIP_GATEWAY_2,+13448679619,No Answer,0,59,0,Outbound
CDR_00000221,2024-01-01 14:58:37,Agent_005,Survey_Campaign,SIP_GATEWAY_2,+15773065876,Interested,168,3,29,Outbound
CDR_00004520,2024-01-01 15:03:25,Agent_003,Sales_Campaign_Q1,TRUNK_BACKUP,+18572277923,Not Interested,68,4,19,Outbound
CDR_00004799,2024-01-01 15:04:13,Agent_019,Collection_Drive,TRUNK_BACKUP,+12236461585,Not Interested,85,6,25,Outbound
CDR_00001220,2024-01-01 15:05:06,Agent_007,Customer_Retention,TRUNK_BACKUP,+13832996145,No Answer,0,48,0,Outbound
CDR_00004959,2024-01-01 15:07:47,Agent_018,Collection_Drive,VOIP_LINE_A,+14677831183,Sale,407,7,1,Outbound
CDR_00002842,2024-01-01 15:16:28,Agent_020,Survey_Campaign,SIP_GATEWAY_2,+15078422584,Callback Scheduled,153,4,0,Outbound
CDR_00000949,2024-01-01 15:46:48,Agent_001,Collection_Drive,SIP_GATEWAY_2,+19453736759,Not Interested,58,9,0,Outbound
CDR_00001811,2024-01-01 16:08:39,Agent_008,Customer_Retention,TRUNK_BACKUP,+15846144030,Transferred,53,13,0,Outbound
CDR_00002791,2024-01-01 16:17:16,Agent_011,Survey_Campaign,VOIP_LINE_A,+16969017464,Callback Scheduled,199,24,11,Outbound
CDR_00002881,2024-01-01 16:28:45,Agent_020,New_Product_Launch,VOIP_LINE_B,+15397772214,Voicemail,13,29,0,Outbound
CDR_00001913,2024-01-01 16:31:30,Agent_012,Collection_Drive,SIP_GATEWAY_2,+12581675568,Not Interested,68,20,23,Outbound
CDR_00001331,2024-01-01 16:50:51,Agent_017,Lead_Generation_2024,TRUNK_PRIMARY,+15269909765,Voicemail,24,30,0,Outbound
CDR_00004880,2024-01-01 16:55:33,Agent_003,Survey_Campaign,VOIP_LINE_A,+15995297835,No Answer,0,46,0,Outbound
CDR_00002213,2024-01-01 16:55:49,Agent_007,Sales_Campaign_Q1,TRUNK_PRIMARY,+18828187967,No Answer,0,49,0,Outbound
CDR_00003140,2024-01-01 17:04:20,Agent_009,Sales_Campaign_Q1,TRUNK_PRIMARY,+16236642809,Busy,0,54,0,Outbound
CDR_00003117,2024-01-01 17:14:25,Agent_003,Sales_Campaign_Q1,VOIP_LINE_B,+15903117129,No Answer,0,57,0,Outbound
CDR_00002165,2024-01-01 17:42:09,Agent_019,Lead_Generation_2024,SIP_GATEWAY_2,+12333456565,No Answer,0,59,0,Outbound
CDR_00002630,2024-01-01 18:11:35,Agent_007,Collection_Drive,SIP_GATEWAY_2,+13666319757,No Answer,0,44,0,Outbound
CDR_00002038,2024-01-01 18:17:36,Agent_008,Collection_Drive,SIP_GATEWAY_2,+13964000843,No Answer,0,23,0,Outbound
CDR_00003904,2024-01-01 18:21:55,Agent_005,Lead_Generation_2024,TRUNK_PRIMARY,+18945287966,Sale,220,4,20,Outbound
CDR_00002760,2024-01-01 18:34:43,Agent_017,New_Product_Launch,VOIP_LINE_B,+19699727141,No Answer,0,51,0,Outbound
CDR_00000150,2024-01-01 18:39:53,Agent_017,Sales_Campaign_Q1,VOIP_LINE_A,+19143793963,Sale,16,9,0,Outbound
CDR_00004495,2024-01-01 19:13:00,Agent_004,New_Product_Launch,VOIP_LINE_A,+14733612195,Voicemail,18,13,0,Outbound
